Start,End,imem_ecc,dmem_ecc,regfile_ecc,iv
2023-12-08 17:34:36.328357632+00:00,2023-12-08 18:31:10.170611968+00:00,55979,574,559273,29863
2023-12-08 18:37:55.169459200+00:00,2023-12-08 18:56:03.507103744+00:00,5625,328,132,5544
2023-12-08 19:00:24.156713472+00:00,2023-12-08 19:05:20.942129920+00:00,4967,0,0,4967
2023-12-08 19:11:51.283683328+00:00,2023-12-08 19:16:58.011670016+00:00,47864,174,0,460
2023-12-08 19:18:23.366780416+00:00,2023-12-08 21:00:25.944711680+00:00,265062,595,0,201158
2023-12-08 21:17:08.860598272+00:00,2023-12-08 21:17:10.176024064+00:00,5451,0,0,5451
2023-12-08 21:17:10.797471232+00:00,2023-12-08 21:17:12.117655552+00:00,5451,0,0,5451
2023-12-08 21:36:13.287449600+00:00,2023-12-08 21:59:14.292744960+00:00,6210,1,2755,4350
2023-12-08 22:10:35.020169472+00:00,2023-12-08 22:13:47.078401024+00:00,5451,0,0,5451
2023-12-08 22:16:23.743826432+00:00,2023-12-09 01:59:07.640697088+00:00,141812,367,0,89928
2023-12-09 02:00:19.987192576+00:00,2023-12-09 05:52:16.911046656+00:00,108900,2107,0,42267
2023-12-09 05:57:52.542281216+00:00,2023-12-09 06:09:17.305296640+00:00,47014,0,0,20
2023-12-09 06:16:54.200841216+00:00,2023-12-09 07:06:24.084205312+00:00,35305,48,0,28291
2023-12-09 07:08:50.157595136+00:00,2023-12-09 07:16:33.870829312+00:00,1831,0,0,1831
2023-12-09 07:20:31.198718720+00:00,2023-12-09 08:38:30.399163392+00:00,194626,334,0,84082
2023-12-09 08:47:01.781453312+00:00,2023-12-09 08:50:42.882483968+00:00,2551,168,0,2531
2023-12-09 08:59:22.570374144+00:00,2023-12-09 09:02:15.243215616+00:00,3080,0,0,2080
2023-12-09 09:05:52.847133952+00:00,2023-12-09 09:34:41.511289600+00:00,37370,306,0,34888
2023-12-09 09:40:20.500972288+00:00,2023-12-09 11:50:08.525487360+00:00,60649,100,0,59233
2023-12-09 11:52:57.207550720+00:00,2023-12-09 12:08:59.407621376+00:00,37416,74,0,42
2023-12-09 12:12:21.637855232+00:00,2023-12-09 17:09:54.666268160+00:00,161967,764,0,62833
2023-12-09 17:19:40.673891328+00:00,2023-12-09 17:51:50.182418944+00:00,49254,0,0,47604
2023-12-09 18:01:33.713537792+00:00,2023-12-09 18:17:08.520668672+00:00,6200,412,0,0
2023-12-09 18:17:08.930610944+00:00,2023-12-09 18:17:10.456321792+00:00,6200,0,0,0
2023-12-09 18:17:10.867098368+00:00,2023-12-09 18:17:12.399131648+00:00,6200,0,0,0
2023-12-09 18:17:12.808138496+00:00,2023-12-09 19:00:21.497181440+00:00,20603,164,0,13569
